K_T,SetA,SetB,SetA_r,SetB_r,AandB_r,AorB_r,IsSubmodularity,menos,,
543-611-15-608,18-972-70-353,13.0888,34.7839,0,45.0549,1,2.8178,,,
179-113-289-209,722-59-133-413,28.4491,5.7169,0,33.764,1,0.402,,,
7-608-365-528,557-142-80-145,4.7833,14.631,0,19.3447,1,0.0696,,,
76-298-402-32,419-26-5-747,12.4847,5.8197,0,18.4158,0,-0.1114,,,
621-362-108-616,315-555-722-27,5.3096,5.2237,0,10.5355,0,-0.0022,,,
289-382-136-35,123-470-210-362,8.6444,5.1919,0,13.8665,0,-0.0302,,,
342-372-601-404,27-695-333-446,5.6124,21.2693,0,26.7764,1,0.1053,,,
137-169-152-522,256-233-307-408,18.5919,6.5283,0,24.2143,1,0.9059,,,
213-221-37-372,59-58-283-489,9.5951,6.2863,0,15.9816,0,-0.1002,,,
606-818-317-372,221-528-7-553,14.7751,5.8035,0,20.9296,0,-0.351,,,
115-393-52-901,1-26-362-207,10.314,170.1273,0,175.291,1,5.1503,,,
6-55-709-846,96-204-555-488,28.6882,4.4944,0,32.3519,1,0.8307,,,
366-419-555-665,16-483-136-512,7.5923,7.9058,0,15.4825,1,0.0156,,,
764-112-1-165,315-289-113-233,172.3282,14.5389,0,179.1184,1,7.7487,,,
421-43-101-108,112-301-995-929,7.5031,24.5094,0,32.6227,0,-0.6102,,,
497-210-312-241,148-595-913-573,9.5135,5.5317,0,15.0385,1,0.0067,,,
603-913-58-187,22-289-187-661,10.0169,8.8827,1.5362,17.7239,0,-0.3605,,,
593-133-474-512,61-180-924-55,23.7586,27.6094,0,36.0823,1,15.2857,,,
652-559-759-1,430-846-316-439,170.0478,4.286,0,173.9702,1,0.3636,,,
979-562-338-265,113-366-265-722,5.3899,14.823,1.3121,19.0366,0,-0.1358,,,
5-245-573-493,104-407-483-106,5.864,5.9297,0,11.7976,0,-0.0039,,,
342-595-470-611,52-361-489-336,5.0807,6.4436,0,11.5367,0,-0.0124,,,
75-979-379-67,22-289-266-200,26.2748,8.7691,0,35.2654,0,-0.2215,,,
379-15-497-316,123-523-27-228,12.7294,5.7332,0,18.4616,1,0.001,,,
123-73-593-470,362-52-366-595,5.7788,7.8328,0,13.5028,1,0.1088,,,
818-972-331-665,13-652-11-43,9.3333,11.1295,0,19.9461,1,0.5167,,,
152-331-553-37,67-200-419-268,15.6111,9.4552,0,23.7414,1,1.3249,,,
928-961-153-379,497-493-207-21,4.7706,22.1043,0,26.543,1,0.3319,,,
49-26-143-393,251-417-402-528,5.8002,9.9054,0,16.3882,0,-0.6826,,,
247-203-457-185,47-379-404-139,4.5937,5.3653,0,9.9758,0,-0.0168,,,
145-665-5-104,83-32-118-49,10.7599,12.7291,0,22.4162,1,1.0728,,,
18-96-361-659,70-407-272-622,35.2287,7.4541,0,41.5851,1,1.0977,,,
304-421-169-759,603-153-489-553,12.4598,10.7227,0,22.3518,1,0.8307,,,
962-457-289-241,493-133-336-306,10.3989,7.1619,0,17.4662,1,0.0946,,,
108-47-106-379,557-888-221-995,6.1538,4.6904,0,10.7928,1,0.0514,,,
137-70-143-153,372-251-331-28,7.3912,10.773,0,17.9956,1,0.1686,,,
818-361-203-83,179-55-181-213,9.4451,28.0107,0,32.6382,1,4.8176,,,
61-316-112-319,595-133-217-361,26.8379,8.6276,0,35.8445,0,-0.379,,,
622-164-746-283,573-70-30-365,10.6989,4.5332,0,15.293,0,-0.0609,,,
221-648-76-241,603-256-333-436,9.7137,20.9918,0,31.8376,0,-1.1321,,,
203-123-553-217,82-135-20-557,8.6824,5.6228,0,14.3033,1,0.0019,,,
210-746-433-927,716-408-457-115,5.947,10.8034,0,16.6507,1,0.0997,,,
809-300-566-593,830-284-139-709,4.6063,5.4264,0,9.9572,1,0.0755,,,
165-543-59-265,8-247-400-722,5.943,25.1963,0,29.3922,1,1.7471,,,
764-58-247-558,379-972-661-113,5.399,12.2412,0,17.7383,0,-0.0981,,,
148-523-33-67,200-239-474-312,11.9711,22.402,0,32.8542,1,1.5189,,,
709-611-961-929,221-962-469-902,8.757,5.2812,0,14.5037,0,-0.4655,,,
603-49-488-650,20-724-151-759,9.0697,9.518,0,17.1212,1,1.4665,,,
593-245-210-809,379-117-764-123,5.9222,5.2885,0,11.2307,0,-0.02,,,
27-408-512-13,265-528-27-522,11.8051,5.3256,1.7513,14.9765,1,0.4029,,,
15-96-402-181,336-429-616-153,11.9749,6.0465,0,18.4769,0,-0.4555,,,
306-155-145-724,228-474-2-950,16.5368,35.4408,0,47.8967,1,4.0809,,,
289-365-913-19,155-21-338-962,6.649,21.8312,0,27.1721,1,1.3081,,,
23-497-331-317,436-403-746-59,15.9665,6.5087,0,22.5703,0,-0.0951,,,
474-382-152-155,622-213-430-37,27.1329,8.7398,0,32.0882,1,3.7845,,,
307-183-439-101,108-49-595-333,6.0844,21.137,0,26.3877,1,0.8337,,,
523-21-809-70,47-338-312-558,21.1165,6.2003,0,27.4237,0,-0.1069,,,
650-429-2-47,52-333-61-603,23.1415,24.1089,0,42.5686,1,4.6818,,,
927-16-489-110,408-86-170-228,6.3861,24.8081,0,30.4837,1,0.7105,,,
300-207-379-165,159-266-123-164,10.9802,10.3347,0,20.4142,1,0.9007,,,
650-115-236-924,430-830-421-192,10.1445,11.8047,0,21.6669,1,0.2823,,,
809-284-830-358,22-61-626-652,6.2289,22.3255,0,28.4347,1,0.1197,,,
650-483-284-7,164-301-553-142,5.6026,11.2713,0,16.8796,0,-0.0057,,,
433-48-136-429,1-256-650-67,24.5082,172.6976,0,177.8494,1,19.3564,,,
522-608-307-265,777-13-48-200,4.9688,24.455,0,29.379,1,0.0448,,,
251-519-962-361,153-241-143-709,5.0266,8.6079,0,13.6759,0,-0.0414,,,
284-661-331-304,75-283-217-76,5.0242,26.5147,0,31.4005,1,0.1384,,,
457-759-7-616,470-695-159-96,4.6442,4.1976,0,8.7393,1,0.1025,,,
73-402-6-333,746-70-611-342,27.2639,6.4763,0,33.9682,0,-0.228,,,
446-200-488-49,558-241-557-716,5.216,9.4462,0,14.6219,1,0.0403,,,
469-902-474-256,179-621-393-962,21.8325,24.1577,0,33.9526,1,12.0376,,,
659-47-338-126,809-175-145-227,5.9954,10.4628,0,16.2927,1,0.1655,,,
123-304-446-901,777-659-413-872,4.975,5.1195,0,10.0908,1,0.0037,,,
30-429-159-888,61-155-272-400,4.6843,24.2644,0,27.8921,1,1.0566,,,
192-247-396-611,483-11-312-846,10.6066,5.8866,0,16.9915,0,-0.4983,,,
358-187-49-558,170-187-709-558,6.0104,22.7811,2.7774,25.9376,1,0.0765,,,
35-382-73-497,227-553-995-315,7.6092,5.2354,0,12.8405,1,0.0041,,,
117-152-316-635,846-559-421-136,11.1583,6.6308,0,18.0376,0,-0.2485,,,
136-55-523-283,175-52-283-75,23.9412,22.7198,1.7448,31.3147,1,13.6015,,,
333-23-210-39,265-26-16-203,21.7744,6.5989,0,28.4511,0,-0.0778,,,
43-192-21-159,265-830-32-16,22.17,13.5183,0,31.0946,1,4.5937,,,
7-192-120-294,37-566-616-818,11.219,13.0415,0,21.6979,1,2.5626,,,
28-272-221-312,21-93-622-52,12.7765,23.0084,0,30.3685,1,5.4164,,,
123-400-927-47,15-665-179-336,5.9252,26.6769,0,32.3668,1,0.2353,,,
106-474-722-315,407-364-488-361,22.4902,4.4926,0,26.5625,1,0.4203,,,
83-652-251-616,746-559-55-170,5.2832,29.6843,0,33.449,1,1.5185,,,
652-927-333-37,96-33-361-180,21.3011,5.9201,0,27.4587,0,-0.2375,,,
96-284-213-112,208-648-83-213,23.9564,4.3727,1.0318,26.5777,1,0.7196,,,
396-21-995-153,30-61-209-33,20.4423,23.1122,0,31.745,1,11.8095,,,
358-8-200-818,118-30-429-417,26.7086,10.6636,0,32.1697,1,5.2025,,,
557-15-622-446,151-361-169-950,13.1361,10.7893,0,23.4774,1,0.448,,,
5-266-408-593,913-759-32-152,6.8582,16.1767,0,23.2501,0,-0.2152,,,
358-382-553-421,558-145-203-470,8.9833,10.127,0,18.9141,1,0.1962,,,
553-21-101-519,777-23-239-469,22.4261,10.7739,0,30.1159,1,3.0841,,,
315-818-133-846,709-818-133-661,9.5874,10.1929,7.5728,12.1135,1,0.094,,,
979-7-393-927,82-648-217-312,5.1797,7.9157,0,13.1089,0,-0.0135,,,
300-493-247-505,283-901-83-208,5.476,5.1602,0,10.6031,1,0.0331,,,
722-135-364-251,159-608-58-659,5.9453,5.1908,0,11.1296,1,0.0065,,,
928-995-75-519,331-11-117-704,21.9762,11.0715,0,28.5485,1,4.4992,,,
28-611-106-170,338-49-413-931,24.7454,5.7981,0,31.149,0,-0.6055,,,
931-251-152-888,120-133-143-474,11.4074,22.505,0,29.561,1,4.3514,,,
93-379-446-183,439-457-204-635,10.6278,4.6036,0,15.1752,1,0.0562,,,
315-429-101-931,152-724-846-665,6.6739,13.6516,0,20.3923,0,-0.0668,,,
382-221-106-185,659-75-379-142,6.9308,23.4822,0,28.9732,1,1.4398,,,
543-573-86-169,301-155-304-901,11.365,5.3105,0,16.6427,1,0.0328,,,
23-652-61-543,307-93-164-520,23.1012,16.2922,0,32.776,1,6.6174,,,
113-722-528-164,21-962-558-86,15.2813,20.065,0,29.2991,1,6.0472,,,
950-315-483-413,137-209-759-928,5.6284,7.4506,0,13.0905,0,-0.0115,,,
759-35-709-116,245-298-13-433,4.6664,10.6037,0,15.1162,1,0.1539,,,
361-573-603-695,73-228-650-213,9.3899,6.6007,0,16.1119,0,-0.1213,,,
207-661-93-23,421-312-901-123,18.6515,6.0123,0,23.5511,1,1.1127,,,
13-665-404-659,133-469-759-904,9.6323,5.4561,0,14.6686,1,0.4198,,,
902-400-924-283,284-361-116-716,5.8308,5.4383,0,11.2953,0,-0.0262,,,
169-22-512-402,73-8-32-213,14.2693,27.1893,0,37.2974,1,4.1612,,,
13-11-338-104,972-815-148-16,10.4307,7.1362,0,17.2759,1,0.291,,,
300-49-413-27,164-186-358-118,5.9684,10.4297,0,16.414,0,-0.0159,,,
555-566-961-27,185-931-439-372,5.0766,5.3156,0,10.3989,0,-0.0067,,,
489-268-233-265,402-86-601-497,6.3652,4.9976,0,11.3531,1,0.0097,,,
312-266-207-159,323-695-26-557,10.3165,5.1767,0,16.3706,0,-0.8774,,,
19-284-175-300,716-142-8-192,5.1849,28.5885,0,33.7105,1,0.0629,,,
181-559-298-902,75-400-665-520,4.435,22.733,0,28.118,0,-0.95,,,
133-104-209-950,165-143-566-26,5.6874,6.1295,0,11.7533,1,0.0636,,,
446-155-116-353,382-86-520-214,6.1332,13.0477,0,19.1344,1,0.0465,,,
67-979-82-16,47-815-519-113,10.8954,14.1012,0,23.916,1,1.0806,,,
83-562-236-402-209,210-497-470-402-307,7.5181,6.5602,1.2462,12.8596,0,-0.0275,,,
33-695-315-382-22,115-365-522-979-469,10.2709,10.7703,0,21.198,0,-0.1568,,,
58-603-110-457-830,830-181-626-15-123,11.2519,13.717,1.7452,23.3346,0,-0.1109,,,
323-49-722-52-562,112-96-143-433-163,6.9747,24.976,0,30.9867,1,0.964,,,
661-33-116-153-256,333-247-28-203-323,7.6174,23.4999,0,31.0645,1,0.0528,,,
404-961-108-96-403,204-5-213-488-227,6.0585,6.3243,0,12.3734,1,0.0094,,,
904-709-315-608-227,626-483-307-137-221,5.5548,8.8323,0,14.3545,1,0.0326,,,
145-505-61-233-306,7-8-924-116-67,30.2181,31.7436,0,49.4734,1,12.4883,,,
342-650-214-18-362,151-7-872-928-364,41.2065,5.7119,0,45.8799,1,1.0385,,,
37-165-716-709-312,120-39-117-904-294,12.0149,7.62,0,20.0584,0,-0.4235,,,
488-21-183-151-272,659-722-27-746-972,23.2936,7.0267,0,31.4027,0,-1.0824,,,
402-421-86-372-621,136-648-611-522-133,7.7616,6.926,0,14.7219,0,-0.0343,,,
404-315-101-777-58,358-245-13-519-652,7.647,12.9751,0,20.9552,0,-0.3331,,,
818-650-417-446-555,815-59-113-7-49,15.717,12.8531,0,26.7813,1,1.7888,,,
266-35-716-379-430,555-362-553-37-764,7.4009,11.3614,0,18.6403,1,0.122,,,
446-342-284-830-519,317-979-19-155-661,8.278,12.7528,0,20.8289,1,0.2019,,,
148-446-73-553-21,153-306-155-300-777,24.7007,7.7369,0,32.5833,0,-0.1457,,,
58-817-181-11-187,80-112-319-489-338,7.4733,28.5957,0,36.2324,0,-0.1634,,,
183-148-13-342-28,747-11-924-417-16,17.1517,14.2177,0,29.5877,1,1.7817,,,
200-272-543-961-709,979-137-961-489-382,7.736,9.8519,1.0313,16.5524,1,0.0042,,,
217-76-595-400-512,16-433-817-120-924,10.5442,8.5512,0,19.1851,0,-0.0897,,,
553-573-652-902-393,294-7-336-96-621,7.6774,8.3321,0,15.9911,1,0.0184,,,
294-323-469-93-23,815-929-180-393-716,17.0653,11.7708,0,26.061,1,2.7751,,,
112-152-962-338-136,333-209-148-233-972,27.777,24.4322,0,39.755,1,12.4542,,,
342-902-307-15-115,183-704-209-83-759,18.4775,11.6098,0,27.1063,1,2.981,,,
239-622-301-562-950,522-268-39-301-315,6.5884,5.5969,1.1089,11.0948,0,-0.0184,,,
208-86-904-19-139,143-331-155-543-704,6.1732,11.5487,0,17.9586,0,-0.2367,,,
372-650-704-403-209,652-611-704-315-21,12.4269,22.3435,5.7464,29.3037,0,-0.2797,,,
301-316-123-304-112,489-21-52-379-22,24.0455,24.2151,0,36.5017,1,11.7589,,,
621-70-695-185-186,522-266-621-142-133,6.8062,8.9373,1.7552,13.9927,0,-0.0044,,,
469-400-298-817-112,164-2-35-116-108,24.7104,26.3267,0,44.6122,1,6.4249,,,
746-204-622-1-408,133-142-283-457-716,172.1371,9.0139,0,180.852,1,0.299,,,
20-139-493-52-361,136-558-306-648-236,5.7652,7.5408,0,13.2718,1,0.0342,,,
284-208-11-482-247,520-353-19-209-659,6.428,9.5628,0,16.0025,0,-0.0117,,,
207-616-716-236-153,972-342-213-429-126,12.4687,6.5253,0,18.4849,1,0.5091,,,
759-608-407-559-164,33-59-358-601-142,10.6879,9.227,0,20.0064,0,-0.0915,,,
665-777-493-106-747,333-217-595-1-59,6.186,170.7305,0,175.5777,1,1.3388,,,
393-23-208-482-73,928-483-872-393-716,13.0683,7.6143,1.7457,18.9919,0,-0.055,,,
73-319-20-815-169,15-528-331-86-289,13.2754,15.3416,0,28.2063,1,0.4107,,,
626-317-49-123-362,593-49-621-137-104,11.1039,8.6162,1.2644,18.4371,1,0.0186,,,
163-272-566-315-489,931-913-312-962-338,8.4312,6.2274,0,14.6305,1,0.0281,,,
47-49-228-522-777,522-239-106-573-555,8.1837,6.6426,1.1821,13.6884,0,-0.0442,,,
227-493-543-47-562,365-872-298-595-180,8.192,5.5049,0,13.6833,1,0.0136,,,
407-747-110-272-23,163-393-185-558-221,13.7687,6.7478,0,20.0025,1,0.514,,,
192-316-695-83-152,227-101-93-48-558,15.2609,27.7279,0,36.4795,1,6.5093,,,
123-47-164-402-52,33-593-402-181-665,12.4654,7.0514,1.2402,17.8399,1,0.4367,,,
256-304-573-361-301,15-110-929-214-136,5.4868,22.2481,0,27.2976,1,0.4373,,,
179-695-928-6-32,523-482-6-11-626,31.7675,23.8484,19.3918,36.8034,0,-0.5793,,,
562-403-185-256-183,266-110-19-11-469,6.9509,7.8215,0,14.7054,1,0.067,,,
20-117-342-695-159,117-23-358-208-58,6.7095,13.2508,1.8077,18.1695,0,-0.0169,,,
294-396-358-183-153,13-266-155-33-430,7.8946,13.707,0,21.6913,0,-0.0897,,,
818-2-393-888-315,520-358-20-67-315,26.2033,14.3733,1.0305,38.9693,1,0.5768,,,
372-419-562-382-11,361-488-331-187-35,8.8959,6.3263,0,15.1839,1,0.0383,,,
210-323-217-709-2,364-430-289-180-70,26.5055,7.9096,0,33.3824,1,1.0327,,,
268-115-962-746-315,159-16-55-555-48,10.3985,31.9059,0,37.3405,1,4.9639,,,
722-294-704-27-2,555-474-307-606-58,26.7799,23.3905,0,44.391,1,5.7794,,,
950-995-924-608-888,227-7-155-809-407,6.2597,6.9562,0,12.946,1,0.2699,,,
6-96-61-23-904,28-695-301-543-169,27.8396,16.9866,0,36.009,1,8.8172,,,
809-558-76-192-555,165-110-331-319-659,12.2361,6.7895,0,18.8367,1,0.1889,,,
489-142-210-436-407,304-256-353-601-562,9.1987,6.3282,0,14.9639,1,0.563,,,
439-207-75-419-523,112-543-39-118-400,24.0914,24.2473,0,35.6277,1,12.711,,,
403-70-995-396-47,404-47-133-315-419,8.976,7.5377,2.6893,13.7809,1,0.0435,,,
950-483-407-353-469,15-924-523-543-104,6.7429,14.3464,0,21.4095,0,-0.3202,,,
469-20-317-145-93,159-413-962-13-522,21.8329,10.8388,0,31.4122,1,1.2595,,,
430-402-315-170-888,55-888-228-528-489,24.1307,24.9873,1.0626,34.2058,1,13.8496,,,
8-817-241-268-888,336-950-557-400-995,29.6261,6.815,0,36.986,0,-0.5449,,,
289-164-7-33-210,27-433-200-817-227,14.4856,6.6746,0,20.7739,1,0.3863,,,
58-164-179-214-20,364-18-333-621-559,28.8461,39.144,0,52.6946,1,15.2955,,,
603-300-436-143-319,622-153-35-724-6,11.1242,24.0558,0,31.866,1,3.314,,,
233-266-555-436-133,101-312-59-709-555,9.2037,7.1859,1.2611,14.9074,1,0.2211,,,
961-208-185-52-101,635-187-148-404-236,6.938,7.1909,0,14.0604,1,0.0685,,,
187-413-333-433-82,724-59-233-417-433,22.0798,16.4762,1.3635,30.036,1,7.1565,,,
245-8-979-716-268,207-421-155-47-266,26.9702,16.2593,0,39.5373,1,3.6922,,,
336-200-402-126-616,126-33-256-648-759,6.9446,6.8902,1.2015,12.6226,1,0.0107,,,
764-929-67-543-21,358-70-239-379-52,28.6507,7.5811,0,33.6005,1,2.6313,,,
179-316-962-48-272,67-924-809-175-208,32.296,11.53,0,40.4894,1,3.3366,,,
49-67-566-214-522,23-722-83-365-439,14.8184,11.2761,0,25.9206,1,0.1739,,,
928-266-364-704-192,872-153-331-37-241,15.5719,14.4031,0,27.8779,1,2.0971,,,
400-961-96-8-358,929-543-888-159-650,26.7772,10.4926,0,33.4571,1,3.8127,,,
96-924-47-48-227,117-61-2-80-470,25.8441,39.2048,0,53.2651,1,11.7838,,,
214-421-606-608-924,294-2-404-116-135,11.8171,23.6374,0,35.6307,0,-0.1762,,,
272-361-47-457-300,830-265-101-115-315,9.5717,12.438,0,22.2701,0,-0.2604,,,
137-419-558-777-163,23-200-616-336-817,8.1163,12.3816,0,20.23,1,0.2679,,,
11-227-400-241-187,108-126-217-846-209,10.9464,9.91,0,20.69,1,0.1664,,,
661-28-139-505-233,722-241-55-247-815,14.4825,28.2133,0,38.0919,1,4.6039,,,
117-366-333-902-469,47-307-523-396-20,24.6141,7.7218,0,32.1877,1,0.1482,,,
659-120-204-724-382,110-214-358-902-58,12.247,11.1362,0,23.3835,0,-0.0003,,,
928-204-505-403-5,183-5-493-419-256,7.7488,6.205,1.8671,12.062,1,0.0247,,,
86-457-301-382-307,179-8-207-408-648,7.463,33.6209,0,40.5917,1,0.4922,,,
429-183-888-135-204,179-417-931-559-364,7.1844,25.8619,0,33.0841,0,-0.0378,,,
151-152-317-413-26,48-366-37-112-183,18.4675,34.9599,0,47.7254,1,5.702,,,
228-379-358-606-304,913-724-306-353-49,7.2801,11.2429,0,18.4563,1,0.0667,,,
929-430-888-52-213,136-268-181-163-30,10.2868,6.4432,0,16.8765,0,-0.1465,,,
117-402-217-312-239,289-23-616-777-421,9.9661,14.3203,0,24.0197,1,0.2667,,,
117-37-333-110-483,652-49-474-888-358,22.4903,24.1285,0,35.0199,1,11.5989,,,
104-241-123-382-482,626-323-493-818-204,11.1378,10.1519,0,21.4265,0,-0.1368,,,
558-256-73-59-523,520-22-421-429-83,6.7692,12.2034,0,18.8995,1,0.0731,,,
817-402-601-746-6,106-635-37-28-830,23.8514,16.3774,0,33.7602,1,6.4686,,,
950-142-181-251-901,650-21-817-22-192,6.8612,24.2827,0,31.8104,0,-0.6665,,,
52-123-404-7-716,179-32-408-70-15,6.506,32.263,0,38.3726,1,0.3964,,,
101-408-382-200-417,185-70-289-413-402,15.4283,8.6094,0,22.7624,1,1.2753,,,
365-611-214-512-372,408-30-489-483-110,10.5119,7.8183,0,18.3595,0,-0.0293,,,
709-362-151-361-606,566-30-155-2-436,5.6733,24.3963,0,30.1519,0,-0.0823,,,
204-179-603-972-11,37-13-759-421-5,24.6365,16.29,0,34.4987,1,6.4278,,,
204-113-469-913-520,7-106-152-32-489,16.1423,18.7905,0,33.392,1,1.5408,,,
358-30-289-372-113,256-483-181-724-421,16.0918,12.7527,0,26.6251,1,2.2194,,,
73-8-457-522-595,616-722-402-183-39,26.0461,5.9645,0,31.8793,1,0.1313,,,
83-307-927-86-175,185-659-96-136-433,6.0281,6.4211,0,12.4609,0,-0.0117,,,
185-872-96-361-203,661-133-595-82-557,5.2539,6.4522,0,11.6716,1,0.0345,,,
170-846-208-362-117,120-555-108-747-559,24.4102,6.5088,0,30.431,1,0.488,,,
145-116-316-183-888,139-317-593-403-163,11.2722,11.9585,0,23.2665,0,-0.0358,,,
23-145-58-704-830,136-902-601-217-268,21.4939,10.0183,0,31.712,0,-0.1998,,,
19-764-913-86-365,331-901-621-8-403,6.1754,27.573,0,33.1954,1,0.553,,,
709-136-716-120-28,408-6-148-233-469,13.7957,26.0323,0,35.127,1,4.701,,,
608-214-365-11-995,469-608-558-764-21,10.2719,22.3244,1.2339,31.6238,0,-0.2614,,,
192-106-312-101-888,207-323-695-317-126,13.0915,16.746,0,28.6178,1,1.2197,,,
312-659-112-142-512,611-214-1-15-151,26.3174,176.955,0,185.2519,1,18.0205,,,
846-185-200-488-421,23-93-187-759-403,6.8616,16.1607,0,22.9131,1,0.1092,,,
307-652-338-217-315,333-650-961-208-32,9.6681,24.2656,0,33.5597,1,0.374,,,
635-76-979-818-505,80-764-512-961-256,12.7306,10.292,0,22.4608,1,0.5618,,,
635-722-86-830-245,659-818-135-665-58,7.1888,12.4326,0,19.1863,1,0.4351,,,
595-429-8-186-962,70-11-846-179-298,25.4671,25.1945,0,38.247,1,12.4146,,,
408-159-928-555-709,142-924-611-283-123,6.6378,8.1114,0,14.7538,0,-0.0046,,,
488-47-393-413-180,522-872-979-151-603,8.438,10.4577,0,19.5328,0,-0.6371,,,
35-135-901-28-307,722-413-846-979-901,13.1871,6.2289,1.1028,17.954,1,0.3592,,,
145-650-621-101-67,520-342-301-650-972,17.7428,9.567,1.2808,25.3832,1,0.6458,,,
353-497-716-70-120,110-148-153-213-251,7.7062,6.6508,0,14.3515,1,0.0055,,,
145-972-595-722-204,306-136-421-8-145,11.351,35.347,6.7679,39.1568,1,0.7733,,,
483-204-372-553-48,665-30-361-520-179,26.7399,25.693,0,40.4465,1,11.9864,,,
239-439-32-251-558,336-559-153-208-616,12.5906,6.8285,0,19.674,0,-0.2549,,,
493-18-611-606-43,353-342-294-830-746,35.9481,8.1444,0,43.7448,1,0.3477,,,
439-888-165-402-872,557-123-241-724-430,6.6724,14.6577,0,21.1733,1,0.1568,,,
746-400-266-336-142,315-6-284-28-30,9.6301,25.1355,0,34.605,1,0.1606,,,
30-265-436-704-716,214-621-433-86-558,12.4594,10.6838,0,23.4425,0,-0.2993,,,
175-236-210-362-312,331-764-562-164-148,6.7572,12.6055,0,19.3043,1,0.0584,,,
553-979-28-902-489,209-872-22-272-179,12.8898,27.9519,0,37.0366,1,3.8051,,,
13-603-22-436-170,221-402-312-7-319,27.8219,6.2886,0,34.4902,0,-0.3797,,,
289-888-7-159-904,20-650-555-404-402,7.3461,5.8584,0,13.1964,1,0.0081,,,
239-180-307-59-439,289-208-268-497-419,5.7892,7.197,0,12.9797,1,0.0065,,,
214-429-315-186-8,115-469-659-652-621,30.6605,11.9752,0,37.8795,1,4.7562,,,
83-400-76-142-13,393-203-622-557-256,13.5811,5.9838,0,18.7329,1,0.832,,,
559-817-606-192-126,489-247-407-557-665,11.3613,6.4034,0,17.9249,0,-0.1602,,,
393-419-7-83-93,331-298-595-830-153,11.8429,6.4185,0,18.2124,1,0.049,,,
37-159-931-608-112,817-52-616-400-746,26.1336,6.4316,0,32.3564,1,0.2088,,,
403-227-361-606-247,608-421-553-817-185,6.4786,8.1285,0,14.577,1,0.0301,,,
626-695-165-35-436,117-562-180-245-227,7.6534,7.8522,0,15.5556,0,-0.05,,,
759-482-417-32-47,474-505-457-294-108,18.7392,24.8742,0,35.7651,1,7.8483,,,
817-181-20-266-439,474-979-622-304-22,6.258,24.6429,0,30.1835,1,0.7174,,,
145-393-557-265-214,482-55-265-403-151,15.9426,23.8058,1.3094,38.8829,0,-0.4439,,,
430-75-353-470-950,136-724-298-214-338,22.438,14.3048,0,32.8286,1,3.9142,,,
49-522-108-972-283,902-648-608-139-187,6.7247,6.3687,0,13.1232,0,-0.0298,,,
142-151-815-421-695,489-522-39-505-601,8.4669,7.3859,0,15.786,1,0.0668,,,
1-30-396-336-148,49-704-22-830-307,173.1608,13.5058,0,179.6662,1,7.0004,,,
323-115-113-830-165,21-1-179-284-5,18.6486,170.4213,0,177.6293,1,11.4406,,,
439-648-601-573-256,358-52-23-457-616,5.5254,11.8381,0,17.4344,0,-0.0709,,,
208-593-601-126-439,136-120-512-110-32,5.6207,14.5555,0,19.8247,1,0.3515,,,
319-979-179-13-236,151-512-353-8-112,24.708,33.6162,0,43.3176,1,15.0066,,,
759-474-372-446-317,489-396-136-372-608,28.2576,8.0891,1.5021,35.8231,0,-0.9785,,,
528-76-256-421-606,722-950-26-298-626,7.846,6.1885,0,14.0199,1,0.0146,,,
562-8-120-626-20,626-366-616-429-353,27.1282,8.6782,1.0288,33.8689,1,0.9087,,,
48-27-553-573-358,512-169-28-187-316,26.7691,17.7476,0,38.9799,1,5.5368,,,
307-396-151-233-58,333-23-298-86-483,8.0904,24.1107,0,31.5824,1,0.6187,,,
931-483-469-33-20,11-364-372-268-266,8.7283,7.183,0,15.6914,1,0.2199,,,
611-5-846-21-872,557-80-716-417-52,21.8586,16.4258,0,33.1966,1,5.0878,,,
2-809-846-555-241,300-175-2-106-143,26.5071,22.4292,17.8898,31.4517,0,-0.4052,,,
48-294-436-181-559,950-419-446-120-221,25.7858,7.0901,0,31.6641,1,1.2118,,,
209-888-482-137-192,118-153-307-331-306,13.9547,6.9789,0,20.443,1,0.4906,,,
830-120-139-163-284,48-430-18-603-413,7.3618,44.3578,0,51.3112,1,0.4084,,,
665-265-924-331-284,362-22-366-446-497,6.581,11.4675,0,18.1202,0,-0.0717,,,
272-904-33-76-543,227-186-382-16-616,10.2719,8.5877,0,18.81,1,0.0496,,,
18-709-163-284-300,301-52-315-436-379,34.9402,6.6781,0,43.5844,0,-1.9661,,,
557-333-366-695-22,135-101-27-483-704,25.5364,14.8026,0,35.9294,1,4.4096,,,
247-603-446-557-159,747-764-962-126-28,10.7468,11.5753,0,21.11,1,1.2121,,,
817-555-846-148-236,159-112-192-457-817,7.0915,26.0907,1.336,31.9926,0,-0.1464,,,
372-362-366-73-304,192-528-413-1-523,10.438,170.8402,0,176.2556,1,5.0226,,,
96-126-23-35-7,950-606-319-96-307,11.315,5.6095,1.0318,16.2406,0,-0.3479,,,
145-67-236-185-872,47-268-488-601-110,16.452,7.1454,0,23.4606,1,0.1368,,,
304-393-272-648-301,256-135-603-18-117,8.2794,38.3366,0,46.8721,0,-0.2561,,,
433-101-272-950-555,904-306-192-49-142,9.6467,13.2836,0,21.925,1,1.0053,,,
573-557-179-659-266,52-747-665-493-239,23.35,5.8223,0,28.62,1,0.5523,,,
519-93-557-289-566,522-413-722-106-187,13.0232,7.2973,0,20.3035,1,0.017,,,
353-433-1-555-75,2-39-186-595-323,170.2193,22.6995,0,184.8083,1,8.1105,,,
