K_T,SetA,SetB,SetA_r,SetB_r,AandB_r,AorB_r,IsSubmodularity,menos,,-0.2651
48-20-76,33-18-37,4.277,4.7046,0,8.8448,1,0.1368,,,
1-20-28,20-15-37,24.3588,4.2016,1.2395,26.465,1,0.8559,,,
49-48-28,22-61-93,4.7368,3.3354,0,8.0981,0,-0.0259,,,
2-32-76,33-20-32,4.8222,4.2182,1.9841,6.8939,1,0.1624,,,
67-6-32,2028/2/22,5.7123,4.64,0,9.8389,1,0.5134,,,
20-28-2,21-1-67,4.524,25.5081,0,28.0288,1,2.0033,,,
8-22-2,61-33-93,4.8802,3.2786,0,8.2442,0,-0.0854,,,
67-15-20,48-93-15,3.6143,4.2456,1.2613,5.8333,1,0.7653,,,
49-76-15,8-48-6,3.5625,6.9278,0,10.4322,1,0.0581,,,
2-21-32,22-67-32,6.9188,4.154,1.9864,9.0194,1,0.067,,,
1933/2/1,48-32-1,24.7352,24.9251,22.8178,26.817,1,0.0255,,,
1-32-67,22-15-1,24.1387,24.991,22.8186,26.2479,1,0.0632,,,
18-15-2,15-18-28,5.26,4.7634,3.2319,6.7629,1,0.0286,,,
15-49-67,2021/6/22,3.5963,6.8093,0,10.2331,1,0.1725,,,
18-32-33,49-33-48,4.9564,4.2323,1.0319,8.0737,1,0.0831,,,
33-1-61,67-21-15,24.847,6.4525,0,28.5903,1,2.7092,,,
21-22-20,93-32-76,6.2616,4.0209,0,9.591,1,0.6915,,,
93-15-6,76-18-1,5.5755,25.7538,0,28.7375,1,2.5918,,,
76-67-18,76-48-1,4.1166,25.6049,1.0789,27.8378,1,0.8048,,,
37-22-61,28-93-2,4.0162,4.6164,0,8.4745,1,0.1581,,,
21-61-48,67-18-22,7.213,4.154,0,10.3516,1,1.0154,,,
93-67-76,93-67-37,3.2076,3.7901,2.1336,4.9279,0,-0.0638,,,
61-28-93,21-33-6,3.7809,6.7199,0,10.2827,1,0.2181,,,
2-18-15,48-15-6,5.1905,6.5154,1.2619,10.0198,1,0.4242,,,
1948/6/1,2-61-20,25.494,4.2853,0,27.7013,1,2.078,,,
49-20-18,1-8-61,4.4321,24.2552,0,26.7519,1,1.9354,,,
8-93-48,1937/6/8,4.8435,6.1928,1.848,9.1169,1,0.0714,,,
21-28-76,2028/2/15,6.619,4.8402,1.5459,9.4185,1,0.4948,,,
37-20-48,61-32-22,4.929,4.1881,0,8.8568,1,0.2603,,,
93-32-21,67-33-37,6.2408,3.8828,0,9.7456,1,0.378,,,
18-6-61,6-93-28,6.3137,5.8425,3.2639,8.9039,0,-0.0116,,,
93-15-61,15-8-37,3.5305,4.845,1.2736,6.9741,1,0.1278,,,
28-18-93,33-8-76,4.5138,3.9253,0,8.4642,0,-0.0251,,,
22-21-1,32-61-2,25.4635,4.9211,0,27.7722,1,2.6124,,,
15-21-2,22-33-21,6.914,6.2523,4.102,9.002,1,0.0623,,,
1937/8/1,49-20-22,24.2179,3.5691,0,25.9204,1,1.8666,,,
1-20-33,49-48-20,24.0569,4.4463,1.2362,26.1683,1,1.0987,,,
76-22-8,2-48-6,4.0237,6.8542,0,10.592,1,0.2859,,,
1933/2/6,1-20-15,5.8759,24.0913,0,27.0088,1,2.9584,,,
33-61-28,28-18-6,3.8087,6.8536,1.5435,8.8242,1,0.2946,,,
37-20-76,2-21-1,3.9897,25.4348,0,27.6722,1,1.7523,,,
49-2-61,61-67-15,4.4392,3.5551,1.1985,6.8417,0,-0.0459,,,
48-20-32,1-49-67,5.0655,24.1438,0,25.7512,1,3.4581,,,
21-32-48,21-48-28,7.2775,7.4473,5.9475,8.7738,1,0.0035,,,
37-49-22,18-33-2,4.0646,4.9938,0,8.902,1,0.1564,,,
33-61-28,6-28-21,3.784,7.1313,1.5358,9.3029,1,0.0766,,,
37-8-61,33-20-76,4.6992,3.3315,0,7.9296,1,0.1011,,,
76-6-32,8-15-18,5.7017,5.0849,0,10.5572,1,0.2294,,,
76-18-2,8-20-15,5.0145,4.3614,0,9.0629,1,0.313,,,
20-18-28,33-8-76,4.7221,3.9385,0,8.6591,1,0.0015,,,
49-20-6,8-18-20,5.6903,5.0534,1.2382,9.2619,1,0.2436,,,
22-49-76,20-2-49,3.4279,4.2456,1.2312,6.3445,1,0.0978,,,
67-76-32,67-48-8,4.1027,4.1453,1.0957,7.0871,1,0.0652,,,
18-49-48,93-76-6,5.1381,5.44,0,10.5165,1,0.0616,,,
76-32-49,37-93-76,4.274,3.8797,1.0628,6.6614,1,0.4295,,,
8-61-20,1967/1/18,4.2965,25.7326,0,27.523,1,2.5061,,,
2-28-32,32-76-6,5.3288,5.6311,1.9432,8.6464,1,0.3703,,,
32-33-67,37-76-33,4.0858,3.7713,1.033,6.6167,1,0.2074,,,
18-76-32,49-18-33,4.9788,4.2202,1.9493,7.1694,1,0.0803,,,
48-18-37,93-61-2,5.6765,4.3093,0,9.734,1,0.2518,,,
93-37-6,33-28-21,5.4616,6.8585,0,10.3106,1,2.0095,,,
61-21-15,18-20-48,6.5333,5.1463,0,11.4837,1,0.1959,,,
2-37-1,28-48-22,24.8123,4.6057,0,29.0632,1,0.3548,,,
61-28-49,1976/1/6,3.9768,24.7031,0,27.4057,1,1.2742,,,
61-20-33,2-32-8,3.4756,5.5075,0,8.7661,1,0.217,,,
15-18-33,1967/8/6,4.2551,6.0387,0,10.3485,0,-0.0547,,,
33-21-93,22-33-67,6.1096,3.2419,1.0314,8.1902,1,0.1299,,,
6-48-33,8-33-22,6.2942,3.9837,1.0297,9.1131,1,0.1351,,,
37-20-61,28-76-20,4.1653,3.8335,1.2338,6.6203,1,0.1447,,,
28-20-18,67-18-2,4.7307,5.1035,1.9549,7.4903,1,0.389,,,
76-20-37,6-18-48,3.967,7.2885,0,10.471,1,0.7845,,,
37-21-32,93-21-32,6.6198,6.3898,5.4003,7.4209,1,0.1884,,,
2-32-76,1976/2/22,4.8064,4.2563,3.1453,5.915,1,0.0024,,,
6-15-49,28-32-48,5.7164,5.3867,0,10.5563,1,0.5468,,,
48-6-32,93-21-76,6.678,6.1028,0,10.9347,1,1.8461,,,
15-20-1,15-67-20,24.086,3.602,2.5092,25.1445,1,0.0343,,,
21-33-2,67-32-48,6.6132,4.1668,0,10.1287,1,0.6513,,,
2-37-48,76-15-8,5.5395,4.1835,0,9.6652,1,0.0578,,,
48-32-1,21-48-33,24.8884,7.0535,1.9647,27.5879,1,2.3893,,,
1933/8/15,93-37-49,4.1522,3.9992,0,8.1019,1,0.0495,,,
2002/6/18,61-1-67,6.7494,24.8357,0,28.665,1,2.9201,,,
2020/1/21,18-61-37,24.6929,4.8518,0,28.6953,1,0.8494,,,
48-76-18,48-37-32,4.9711,5.3279,1.9698,8.4095,0,-0.0803,,,
37-32-67,1-15-33,4.5672,24.8728,0,27.1966,1,2.2434,,,
1948/2/6,6-2-93,6.7611,5.8343,4.8957,7.8236,0,-0.1239,,,
32-49-76,33-48-28,4.2316,4.5204,0,8.7151,1,0.0369,,,
61-93-49,1-61-2,3.4617,24.8046,1.2319,26.1635,1,0.8709,,,
15-18-28,2-15-61,4.755,4.4966,1.2747,7.9625,1,0.0144,,,
2002/6/8,67-61-37,6.5815,3.9654,0,9.7608,1,0.7861,,,
20-6-48,61-20-28,6.5564,3.9845,1.2415,8.9593,1,0.3401,,,
20-28-37,93-76-22,4.4539,3.1857,0,7.6618,0,-0.0222,,,
28-8-48,21-28-1,5.3443,25.8211,1.5407,28.0611,1,1.5636,,,
67-28-8,6-1-33,4.4802,24.6976,0,27.5438,1,1.634,,,
