K_T,SetA,SetB,SetA_r,SetB_r,AandB_r,AorB_r,IsSubmodularity,menos,,,,
76-48-15,2-18-20,4.30061,4.94745,0,9.23685,1,0.01121,,,,,
15-33-28,15-48-37,3.83843,4.93839,1.26911,7.49647,1,0.01124,,,,,
1937/2/18,15-67-22,5.51638,3.47032,0,8.97516,1,0.01155,,,,,
37-28-20,32-76-37,4.45833,4.52065,1.7135,7.2538,1,0.01168,,,,,
33-28-15,2002/8/18,3.83823,5.78022,0,9.60656,1,0.01189,,,,,
2-6-76-32,49-6-22-28,7.10784,7.09666,3.33219,10.86039,1,0.01193,,,,,
22-15-49,93-18-61,3.60657,4.19712,0,7.79157,1,0.01213,,,,,
2-18-33-20,2-33-37-67,5.96747,5.70107,3.05443,8.60176,1,0.01236,,,,,
76-18-15-67-22,76-2-18-67-61,6.48979,7.34511,4.12148,9.70093,1,0.01249,,,,,
15-49-48-28,20-61-93-28,6.00767,5.01795,1.53755,9.47548,1,0.01259,,,,,
2-22-33-76,93-76-2-37,5.24029,5.66893,3.09983,7.79676,1,0.01263,,,,,
61-15-49-67-22,49-61-48-37-67,5.91535,6.39819,3.54624,8.75441,1,0.0129,,,,,
15-28-67-33-8,33-20-8-32-93,6.7641,7.03088,2.88221,10.89979,1,0.01298,,,,,
8-32-22-76-6,93-28-15-6-32,8.47147,8.4555,4.66234,12.25121,1,0.01341,,,,,
15-6-20-93,15-93-76-6,6.77731,6.60051,5.59181,7.77258,1,0.01343,,,,,
1937/2/22,15-93-18,4.6673,4.24411,0,8.89779,1,0.01361,,,,,
1-49-48-18-28,76-1-67-8-48,28.22396,26.31074,24.59671,29.92429,1,0.0137,,,,,
48-28-6-61,76-8-93-6,7.80161,7.06466,3.31884,11.53371,1,0.01372,,,,,
67-93-22-20,6-37-20-32,4.46934,6.96117,1.23714,10.17948,1,0.01389,,,,,
67-93-61-76,76-67-61-2,4.36918,5.39385,3.33317,6.41554,1,0.01432,,,,,
18-28-76,1967/2/8,4.55684,4.92821,0,9.4703,1,0.01475,,,,,
22-67-15,93-37-22,3.47097,3.84043,1.10093,6.19536,1,0.01511,,,,,
37-49-61-67-28,28-15-93-67-33,6.7123,5.94128,2.6142,10.02421,1,0.01516,,,,,
21-28-8,33-93-21,7.31878,6.14914,4.07648,9.37571,1,0.01573,,,,,
37-6-1-28-76,37-93-6-22-76,27.07167,7.63547,5.51228,29.17895,1,0.01591,,,,,
33-37-67-15,21-32-22-37,5.1107,7.56986,1.71448,10.95012,1,0.01596,,,,,
76-6-20-49-61,15-8-33-6-18,7.63952,9.27204,3.3151,13.58048,1,0.01599,,,,,
33-67-37,21-32-37,3.84759,6.54777,1.70695,8.67224,1,0.01616,,,,,
15-18-22,20-32-93,4.32018,4.18943,0,8.49342,1,0.0162,,,,,
15-33-48-67-93,15-61-76-21-22,5.6255,8.49212,1.26962,12.83156,1,0.01643,,,,,
76-21-2,76-67-28,6.60236,3.68256,1.06869,9.1997,1,0.01653,,,,,
37-93-8,37-76-20,4.55365,3.98533,1.70657,6.81563,1,0.01679,,,,,
32-18-61,37-18-32,5.08169,5.41816,3.89738,6.58544,1,0.01702,,,,,
28-61-1-37,6-76-1-32,26.17045,25.02011,22.78751,28.38584,1,0.01721,,,,,
37-28-20,32-37-49,4.46104,4.65072,1.70885,7.38555,1,0.01736,,,,,
49-6-32,1948/8/6,5.80563,6.97568,3.32841,9.43384,1,0.01906,,,,,
15-49-93-20,49-32-37-20,4.76823,5.85722,2.47373,8.13266,1,0.01906,,,,,
6-49-93,93-15-49,5.5001,3.53096,2.2688,6.74258,1,0.01968,,,,,
21-67-32,67-32-15,6.51129,4.30857,3.05616,7.74395,1,0.01976,,,,,
18-6-8-21-20,93-21-67-6-20,10.50334,8.98707,6.85727,12.61312,1,0.02003,,,,,
76-61-6,6-2-37,5.33238,5.9584,3.32992,7.94081,1,0.02004,,,,,
32-67-20,93-49-18,4.25784,4.21987,0,8.45749,1,0.02022,,,,,
18-28-67-20,22-49-28-37,5.80364,5.54757,1.53773,9.79326,1,0.02023,,,,,
15-18-6-48-32,6-8-20-32-49,9.80015,8.66744,4.66529,13.78203,1,0.02027,,,,,
37-15-21-2-6,93-76-48-6-15,9.35812,8.55239,4.57946,13.31051,1,0.02053,,,,,
48-8-28-49-2,93-20-2-61-18,8.53394,7.21544,2.02231,13.7064,1,0.02066,,,,,
48-22-15,37-15-22,4.33631,4.07962,2.36961,6.02542,1,0.0209,,,,,
48-33-8-49-37,49-37-61-22-18,7.71537,7.15643,2.91482,11.93571,1,0.02127,,,,,
6-67-21-2-37,8-2-15-21-93,9.20203,9.52868,5.56943,13.13978,1,0.02149,,,,,
28-33-18,37-21-2,4.51994,6.70963,0,11.20802,1,0.02156,,,,,
49-8-37,18-67-20,4.72443,4.28748,0,8.99033,1,0.02158,,,,,
32-61-8,93-20-61,4.93106,3.47941,1.2141,7.17474,1,0.02163,,,,,
15-21-48,6-22-21,7.28419,6.74363,4.07955,9.92648,1,0.0218,,,,,
2-93-28,2-76-21,4.58657,6.6205,2.02138,9.16382,1,0.02186,,,,,
48-8-67,32-8-67,4.15227,4.85209,2.95051,6.03105,1,0.0228,,,,,
76-49-67,1967/8/2,3.40342,4.93011,1.10047,7.21007,1,0.02299,,,,,
